SL,Data set,Encode Time,Encode Memory,,Decode Time(ms),Decode Memory(Mb)
53,"Shea Matthews
321002708
BSc in CSE
CGPA:3.62
Grade:A-",147.3655701,128.703126,,5914.595842,16.569393
54,"James Hansen
211002347
BSc in Textile
CGPA:2.78
Grade:B-",147.8784084,128.703094,,6317.019224,16.569399
55,"Felipe Stevens
203002057
BSc in EEE
CGPA:2.84
Grade:B-",156.0714245,128.702446,,6559.156418,16.569682
56,"Izabelle Turner
321002752
BSc in Textile
CGPA:2.52
Grade:C+",151.9291401,128.702771,,6539.960146,16.569593
57,"Ralph Berry
211002326
BSc in CSE
CGPA:3.48
Grade:B+",144.1516876,128.703198,,6529.251337,16.570646
58,"Clara Ross
203002058
BSc in EEE
CGPA:3.3
Grade:B+",148.4627724,128.702748,,6549.237728,16.569329
59,"Ford Gardner
322002845
BBA
CGPA:3.47
Grade:B+",146.3425159,128.702437,,6024.480104,16.569329
60,"Marin Moore
222002415
BBA
CGPA:2.72
Grade:C+",142.7829266,128.702436,,6230.713129,16.569752
61,"Robert Lewis
222002431
BSc in CSE
CGPA:3.63
Grade:A-",143.8896656,128.702616,,6187.488556,16.569337
62,"Harvey Brooks
223015631
BA in English
CGPA:2.9
Grade:B-",144.3257332,128.702801,,5852.081537,16.569329
63,"Deja Watson
322002832
BBA
CGPA:2.83
Grade:B-",158.2920551,128.702436,,5916.459084,16.56954
64,"Everett Meyer
223002582
BBA
CGPA:3.06
Grade:B",143.8424587,128.702477,,6320.539474,16.569263
65,"Marshal Mcdonald
323002920
BSc in CSE
CGPA:2.62
Grade:C+",148.355484,128.70262,,6621.102333,16.569449
66,"Patrick Parker
203002027
BSc in EEE
CGPA:2.7
Grade:C+",142.718792,128.702617,,5886.938334,16.569273
67,"Edmund Hawkins
323002992
BBA
CGPA:3.9
Grade:A",146.7118263,128.704248,,6695.673704,16.569481
68,"Frances Martinez
322002868
BSc in CSE
CGPA:3.1
Grade:B",146.2981701,128.702809,,5893.176556,16.569832
69,"Aubrey Lee
223015656
BBA
CGPA:3.79
Grade:A",148.7383842,128.702606,,6173.415661,16.569784
70,"Jason Richards
211002350
BSc in EEE
CGPA:2.81
Grade:B-",151.4196396,128.70256,,5930.787802,16.569785
71,"Addison Rose
321002793
BSc in CSE
CGPA:3.79
Grade:A",145.8787918,128.702443,,6403.41711,16.569808
72,"Laci Morrison
223015611
BSc in Textile
CGPA:3.84
Grade:A",149.1794586,121.393303,,6714.617729,16.569457
73,"Oscar Lewis
223015674
BBA
CGPA:3.43
Grade:B+",158.5290432,128.701968,,6584.028006,16.569305
74,"Martin Diaz
223015660
BSc in Textile
CGPA:3.95
Grade:A",142.60602,128.70296,,6584.54442,16.569505
75,"Kenley Kennedy
211002370
BSc in EEE
CGPA:3.04
Grade:B",146.5234756,128.701805,,6550.224066,16.569609
76,"Elbert Lynch
321002724
BBA
CGPA:3.88
Grade:A",139.9767399,128.70205,,6570.361853,16.569753
77,"Kenley Morgan
211015218
BSc in EEE
CGPA:3.78
Grade:A",161.2541676,128.702424,,6698.821545,16.569617
78,"Adolph Fox
211015220
BSc in CSE
CGPA:3.75
Grade:A",155.1561356,128.702613,,6560.713291,16.569393
79,"Marion Perez
203002011
BSc in Textile
CGPA:3.9
Grade:A",151.1845589,128.702511,,5673.312187,16.569393
80,"Robert Wood
222002418
BA in English
CGPA:3.68
Grade:A-",146.2914944,128.702618,,5948.138475,16.56951
81,"Jaslyn Bradley
321002741
BSc in CSE
CGPA:3.95
Grade:A",142.2905922,128.702617,,5972.89753,16.570009
82,"Bernard Hernandez
223002541
BSc in Textile
CGPA:3.21
Grade:B",138.846159,128.702452,,6245.605707,16.569593
83,"Oscar Fisher
323002914
BSc in CSE
CGPA:3.52
Grade:A-",142.7235603,128.702444,,6629.453897,16.569393
84,"Aubrey Bradley
203015127
BSc in Textile
CGPA:3.6
Grade:A-",148.165226,128.702621,,6603.819847,16.569912
85,"Maribel Willis
203015120
BSc in EEE
CGPA:3.49
Grade:B+",147.7634907,128.702618,,6609.042406,16.569329
86,"Lilianna Moore
211015239
BSc in CSE
CGPA:3.6
Grade:A-",163.2230282,128.702668,,5915.792704,16.569521
87,"Thalia Phillips
211002315
BBA
CGPA:3.23
Grade:B",148.1363773,128.702439,,5914.955854,16.569408
88,"Harris Shaw
223002568
BBA
CGPA:3.01
Grade:B",146.479845,128.702607,,6659.560919,16.569401
89,"Odie Dixon
211015206
BSc in CSE
CGPA:3.27
Grade:B+",153.5012722,128.702614,,6636.581659,16.569393
90,"Shyla Morales
223015683
BA in English
CGPA:2.55
Grade:C+",153.6808014,128.702448,,6803.069115,16.569441
91,"Abraham Payne
203015193
BBA
CGPA:3.85
Grade:A",162.8992558,128.702437,,6572.220325,16.569764
92,"Homer Jordan
223015627
BSc in CSE
CGPA:3.29
Grade:B+",160.1545811,128.702987,,6016.391993,16.569273
93,"Charlie Martinez
223015686
BSc in EEE
CGPA:2.97
Grade:B-",152.3509026,128.702779,,6031.926155,16.569457
94,"Odie Matthew
323002981
BA in English
CGPA:2.91
Grade:B-",144.1881657,128.702699,,6156.610489,16.569848
95,"Clifford Salazar
203002073
BSc in CSE
CGPA:3.07
Grade:B",143.9003944,128.702447,,6481.759071,16.569377
96,"Ally Green
323002923
BSc in CSE
CGPA:3.75
Grade:A",158.3147049,121.39304,,5955.761909,16.569329
97,"Jose Dixon
211002360
BA in English
CGPA:3.63
Grade:A-",143.7621117,128.701977,,6637.063742,16.569399
98,"Leia Moore
322002806
BA in English
CGPA:3.92
Grade:A",157.6008797,128.701976,,6576.432705,16.569496
99,"Pearl Harrison
223015671
BA in English
CGPA:3.96
Grade:A",140.8560276,128.701808,,6562.819719,16.569335
100,"Albert Gonzales
211015258
BA in English
CGPA:3
Grade:B",155.7073593,128.70198,,6552.342415,16.569386
101,"Emil Boyd
222002425
BBA
CGPA:2.85
Grade:B-",147.1395493,128.702416,,6585.237265,16.569522
102,"Heidy Ryan
211015254
BSc in CSE
CGPA:3.9
Grade:A",141.6738033,128.703596,,5843.19067,16.56945
103,"Ollie Silva
323002909
BA in English
CGPA:3.14
Grade:B",151.396513,128.702668,,6318.574905,16.569969
104,"Eli Patterson
222002468
BSc in EEE
CGPA:3.19
Grade:B",148.3571529,128.702938,,5906.858206,16.56933
105,"Christopher Turner
211002352
BSc in EEE
CGPA:3.86
Grade:A",153.6545753,128.702623,,5772.582769,16.569698
106,"Philip Daniels
222002436
BSc in CSE
CGPA:3.96
Grade:A",149.5935917,128.702619,,5949.304581,16.569458
107,"Nyasia Rogers
203015136
BSc in Textile
CGPA:2.94
Grade:B-",144.9606419,128.702451,,6081.013918,16.569818
108,"Yamilet Rose
223002567
BSc in Textile
CGPA:3.25
Grade:B+",161.041975,128.702622,,5775.883198,16.569506
109,"Archie Hoffman
211002307
BSc in Textile
CGPA:2.52
Grade:C+",155.0786495,128.702624,,5857.282162,16.569688
110,"Martin Aguilar
203015110
BA in English
CGPA:2.61
Grade:C+",155.9984684,128.702623,,6044.633865,16.56933
111,"Selah Bailey
322002863
BA in English
CGPA:3.89
Grade:A",151.3128281,128.702448,,6089.350224,16.569841
112,"Lawrence Brown
321002779
BSc in CSE
CGPA:3.99
Grade:A",170.4406738,128.702447,,5862.483501,16.569666
113,"Asa Hughes
323002976
BA in English
CGPA:3.36
Grade:B+",157.2542191,128.702619,,6379.211903,16.569514
114,"Bert Martin
222002409
BBA
CGPA:2.84
Grade:B-",157.2487354,128.702551,,5935.368538,16.569208
115,"Samuel Carlson
211002395
BA in English
CGPA:2.71
Grade:C+",158.8795185,128.702623,,6583.663702,16.569394
116,"Ben Gutierrez
211015231
BA in English
CGPA:3.36
Grade:B+",144.8061466,128.70245,,5941.277742,16.569605
117,"Horace Jensen
321002748
BSc in Textile
CGPA:2.61
Grade:C+",144.9007988,128.702569,,5907.873869,16.569308
118,"Eugene Tran
211002349
BSc in Textile
CGPA:3.05
Grade:B",143.4187889,128.70262,,6598.640203,16.569065
119,"Chana Anderson
322002877
BBA
CGPA:3.39
Grade:B+",162.4422073,128.704424,,6570.065737,16.56933
120,"Louis Gilbert
203002096
BSc in CSE
CGPA:3.24
Grade:B",146.1143494,121.392937,,5926.445007,16.569394
121,"Alvin George
223015636
BSc in CSE
CGPA:2.55
Grade:C+",149.0614414,128.70215,,5929.763556,16.569266
122,"Jose Gonzalez
203015114
BSc in CSE
CGPA:3.62
Grade:A-",145.2720165,128.702043,,6495.884418,16.569873
123,"Elianna Elliott
321002732
BSc in Textile
CGPA:3.41
Grade:B+",146.8813419,128.702049,,6596.356392,16.56937
124,"Jocelynn Elliott
323002978
BSc in EEE
CGPA:3.52
Grade:A-",151.4201164,128.701874,,6606.921673,16.569208
125,"Anton Rivera
223015678
BA in English
CGPA:2.71
Grade:C+",153.3944607,128.702429,,6671.867609,16.569719
126,"Angeline Woods
203002089
BSc in CSE
CGPA:3.3
Grade:B+",150.2938271,128.702683,,6586.431265,16.569266
127,"Averie Salazar
222002430
BA in English
CGPA:3.45
Grade:B+",150.9032249,128.702687,,6236.272097,16.569442
128,"Harlan Coleman
322002859
BSc in EEE
CGPA:3.64
Grade:A-",143.1257725,128.702883,,6615.421057,16.57246
129,"Brisa Gordon
211002319
BBA
CGPA:3.28
Grade:B+",149.4534016,128.702675,,6651.354551,16.569394
130,"Thalia Berry
223015676
BA in English
CGPA:3.5
Grade:A-",147.7427483,128.702684,,5915.454626,16.56933
131,"Frank Thomas
222002444
BSc in CSE
CGPA:3.52
Grade:A-",146.6443539,128.703664,,6642.444611,16.570103
132,"Tom Harris
223015690
BA in English
CGPA:3.89
Grade:A",142.6451206,128.70251,,6387.863874,16.569449
133,"Jay Richards
223015632
BBA
CGPA:2.74
Grade:C+",164.911747,128.702675,,6104.161739,16.569658
134,"Adrian Gilbert
211015210
BBA
CGPA:2.68
Grade:C+",162.8322601,128.702677,,6291.368723,16.569841
135,"Alex Grant
223015681
BSc in EEE
CGPA:3.32
Grade:B+",152.4193287,128.702833,,6604.168892,16.569593
136,"Felipe Peters
203002005
BSc in CSE
CGPA:2.53
Grade:C+",142.8153515,128.702511,,6205.352068,16.569338
137,"Wash Watkins
211015276
BSc in EEE
CGPA:2.97
Grade:B-",152.2955894,128.70251,,6278.492689,16.569841
138,"Micah Carroll
211015243
BBA
CGPA:3.35
Grade:B+",151.3652802,128.702676,,6599.577188,16.5693
139,"Ephraim Medina
323002913
BA in English
CGPA:3.54
Grade:A-",156.5566063,128.704498,,5963.985443,16.569633
140,"Stewart Harvey
203015101
BA in English
CGPA:3.65
Grade:A-",392.2140598,128.702693,,5740.443945,16.569274
141,"Essence Reynolds
203002068
BSc in CSE
CGPA:4
Grade:A+",963.9317989,128.703505,,6368.477583,16.569697
142,"Russell Perkins
223015653
BBA
CGPA:2.61
Grade:C+",379.3420792,128.702646,,5899.354219,16.569705
143,"Edward Warren
223015602
BBA
CGPA:3.28
Grade:B+",153.2480717,128.70306,,6746.244431,16.569336
144,"Leticia Franklin
211015284
BSc in EEE
CGPA:2.87
Grade:B-",158.670187,121.393305,,6222.411394,16.569834
145,"Angeline Brown
323002963
BSc in Textile
CGPA:3.03
Grade:B",154.1547775,128.701983,,6353.928089,16.569818
146,"Lucian Reynolds
203002053
BSc in EEE
CGPA:2.71
Grade:C+",148.5409737,128.701809,,6621.376991,16.569458
147,"Jesse White
321002795
BBA
CGPA:3.67
Grade:A-",144.6020603,128.702583,,6638.343334,16.569849
148,"Jerry Morales
322002852
BSc in CSE
CGPA:3.87
Grade:A",141.4940357,128.701978,,6371.885777,16.56933
149,"Kaylah Miller
222002480
BSc in Textile
CGPA:2.7
Grade:C+",150.9108543,128.703436,,6611.637115,16.569394
150,"Chester Stewart
322002860
BSc in Textile
CGPA:3.63
Grade:A-",142.803669,128.702453,,6571.844339,16.569458
151,"Rayne Walker
323002988
BSc in CSE
CGPA:3.45
Grade:B+",149.3575573,128.702618,,6672.738552,16.569556
152,"Nelson Gray
323002969
BSc in CSE
CGPA:3.56
Grade:A-",164.8938656,128.702617,,6646.767855,16.569817
153,"Winfield Hunter
211015285
BSc in EEE
CGPA:3.76
Grade:A",149.4748592,128.70262,,6340.788126,16.56985
154,"Selah Green
203015135
BA in English
CGPA:2.93
Grade:B-",147.387743,128.702448,,6719.557047,16.56945
155,"Leander Dixon
223002533
BA in English
CGPA:3.33
Grade:B+",142.0586109,128.702622,,6626.751661,16.570096
156,"Makena Jacobs
223015613
BSc in CSE
CGPA:3.69
Grade:A-",148.966074,128.702619,,6233.791351,16.569513
157,"Lorelai Jensen
211002385
BSc in EEE
CGPA:3.83
Grade:A",151.7701149,128.702747,,5975.34585,16.569669
158,"Janae Hawkins
203002052
BSc in Textile
CGPA:3.59
Grade:A-",157.6557159,128.702799,,5918.298244,16.5694
159,"Tia Spencer
222002417
BSc in CSE
CGPA:3.96
Grade:A",174.5471954,128.702616,,5996.072292,16.568471
160,"Noah Evans
223002578
BSc in EEE
CGPA:2.57
Grade:C+",154.3655396,128.702616,,6277.407646,16.569266
161,"Jessie Daniels
222002482
BBA
CGPA:3.61
Grade:A-",149.9226093,128.702696,,6658.928394,16.569266
162,"Erastus Weaver
223002594
BSc in EEE
CGPA:3.46
Grade:B+",153.2490253,128.702448,,6186.55777,16.569967
163,"Frank Willis
211002328
BSc in EEE
CGPA:3.76
Grade:A",154.5834541,128.702445,,5720.2456,16.569392
164,"Alexander Perry
223015615
BSc in CSE
CGPA:3.96
Grade:A",158.7564945,128.703108,,6698.626518,16.569386
165,"Karlie Stephens
322002815
BA in English
CGPA:3.88
Grade:A",157.5808525,128.702943,,6797.021866,16.569649
166,"Essence Young
322002841
BSc in CSE
CGPA:3.13
Grade:B",158.813715,128.702704,,6344.340324,16.56933
167,"Jasper Lynch
322002828
BA in English
CGPA:3.55
Grade:A-",161.9837284,128.702449,,6638.260365,16.569266
168,"Micah Hamilton
211002336
BA in English
CGPA:3.58
Grade:A-",157.4933529,121.392942,,6671.467781,16.569601
169,"Averie Aguilar
203002044
BSc in EEE
CGPA:2.8
Grade:B-",151.9107819,128.701979,,5977.169991,16.569727
170,"Jerry Nichols
223002553
BBA
CGPA:3.73
Grade:A-",156.2116146,128.701972,,6014.675617,16.569825
171,"Michael Morgan
203015153
BSc in Textile
CGPA:3.39
Grade:B+",154.6397209,128.70335,,5986.053467,16.569208
172,"Sloane Jimenez
211015266
BA in English
CGPA:2.69
Grade:C+",159.280777,128.701811,,5932.608366,16.56933
173,"Maren Meyer
322002820
BA in English
CGPA:2.51
Grade:C+",140.5155659,128.702856,,6301.774979,16.56933
174,"Aimee Ferguson
211002381
BBA
CGPA:3.09
Grade:B",153.4552574,128.702612,,6626.555681,16.569407
175,"Chester Owens
203015178
BA in English
CGPA:4
Grade:A+",150.0496864,128.702619,,6752.772808,16.569608
176,"Amelie Pierce
203015177
BA in English
CGPA:3.34
Grade:B+",154.2582512,128.70245,,6092.721939,16.569274
177,"Matthew Wheeler
211002389
BBA
CGPA:3.27
Grade:B+",141.5174007,128.702442,,5905.274153,16.56945
178,"Clay Carroll
322002829
BSc in EEE
CGPA:2.83
Grade:B-",156.1927795,128.702618,,5995.021582,16.569458
179,"Emmett Medina
203015181
BSc in EEE
CGPA:3.74
Grade:A-",157.0937634,128.702797,,6062.30855,16.569785
180,"Floyd Ray
223015694
BSc in CSE
CGPA:3.8
Grade:A",155.7869911,128.702441,,5972.440958,16.569641
181,"Howard Taylor
211002375
BA in English
CGPA:3.4
Grade:B+",149.5940685,128.702449,,6253.265381,16.569811
182,"Kierra Romero
203015138
BA in English
CGPA:3.94
Grade:A",169.2659855,128.702621,,6640.435934,16.569905
183,"Jason Roberts
203002081
BA in English
CGPA:3.64
Grade:A-",154.9832821,128.703014,,6682.735443,16.716888
184,"Chester Olson
323002945
BSc in Textile
CGPA:3.59
Grade:A-",162.2288227,128.702943,,6599.678755,16.56933
185,"Janae Wagner
203015121
BSc in Textile
CGPA:2.9
Grade:B-",184.0977669,128.702449,,6560.242653,16.569402
186,"Frederick Campbell
222002432
BBA
CGPA:3.09
Grade:B",173.3617783,128.702444,,5867.511749,16.569595
187,"Wash Myers
223002552
BSc in EEE
CGPA:2.56
Grade:C+",174.2179394,128.702691,,5959.976196,16.569475
188,"Lilianna Hawkins
211002386
BBA
CGPA:3.1
Grade:B",180.4807186,128.702613,,6239.657879,16.569338
189,"Aisha Woods
211015249
BSc in CSE
CGPA:3.83
Grade:A",169.1551208,128.702616,,6595.968962,16.569394
190,"Celia Stevens
323002936
BSc in Textile
CGPA:3.52
Grade:A-",631.4885616,128.702527,,6596.286535,16.569216
191,"Maurice Richards
211015234
BSc in CSE
CGPA:2.51
Grade:C+",1014.081001,128.703092,,6738.601446,16.569456
192,"Sanaa Mason
211015260
BSc in Textile
CGPA:2.59
Grade:C+",171.2961197,121.39308,,6659.945011,16.56933
193,"Jess Hudson
211015265
BSc in Textile
CGPA:2.58
Grade:C+",141.2987709,128.702301,,6379.356623,16.569593
194,"Perry Campbell
321002716
BA in English
CGPA:3.34
Grade:B+",138.1852627,128.702989,,6652.020931,16.569266
195,"Ford Jensen
203015148
BBA
CGPA:3.77
Grade:A",150.3443718,128.701797,,5911.798954,16.569792
196,"Amos Warren
321002765
BSc in CSE
CGPA:3.07
Grade:B",152.6441574,128.702512,,6287.154913,16.56933
197,"Everett Dunn
203015161
BBA
CGPA:2.76
Grade:B-",150.6278515,128.702483,,5881.272316,16.569394
198,"Belen Richards
323002979
BSc in Textile
CGPA:2.52
Grade:C+",146.6815472,128.70363,,6052.58894,16.569458
199,"Elmer Rogers
223002589
BSc in CSE
CGPA:3.72
Grade:A-",150.9847641,128.702446,,6002.333403,16.569513
200,"Adrienne Hudson
323002922
BBA
CGPA:3.69
Grade:A-",160.0687504,128.702614,,6643.297195,16.569015
201,"Adison Woods
223015628
BA in English
CGPA:2.59
Grade:C+",150.9289742,128.702621,,6629.628181,16.569514
202,"Herbert Ryan
323002952
BSc in EEE
CGPA:3.73
Grade:A-",141.7098045,128.7036,,6644.075155,16.569466
203,"Vern Gonzalez
322002853
BSc in Textile
CGPA:3.46
Grade:B+",148.481369,128.702451,,5975.22378,16.569578
204,"Florence Hunter
203015198
BSc in Textile
CGPA:3.5
Grade:A-",143.1028843,128.702787,,5808.972836,16.569513
205,"Nathan Wheeler
211002353
BBA
CGPA:3.42
Grade:B+",149.671793,128.703402,,5936.069489,16.569681
206,"David Ramirez
321002781
BA in English
CGPA:3.15
Grade:B",149.2784023,128.704544,,5935.65464,16.569266
207,"Angeline Braley
322002866
BA  in English
CGPA:3.92
Grade:A",154.6075344,128.702452,,5905.451536,16.569394
208,"Harry Nichols
321002740
BBA
CGPA:2.62
Grade:C+",164.945364,128.702612,,5871.761322,16.569266
209,"Frida Walker
322002810
BSc in Textile
CGPA:2.57
Grade:C+",149.5547295,128.702942,,6236.752033,16.569352
210,"Jerry Gonzalez
203002035
BSc in Textile
CGPA:2.63
Grade:C+",154.5817852,128.702624,,6335.695028,16.569722
211,"Raymond Hernandez
222002460
BSc in Textile
CGPA:3.19
Grade:B",154.487133,128.702454,,6644.894838,16.56933
212,"Kaylah Hoffman
222002441
BBA
CGPA:3.06
Grade:B",148.6997604,128.70244,,6002.324104,16.569535
213,"Edgar Freeman
203015166
BSc in EEE
CGPA:3.56
Grade:A-",165.3943062,128.702619,,6480.854034,16.56945
214,"Otis Cunningham
323002956
BSc in CSE
CGPA:2.85
Grade:B-",148.4375,128.702621,,5964.049816,16.569996
215,"Percy Evans
203015139
BSc in CSE
CGPA:3.09
Grade:B",155.3902626,128.70256,,6476.417065,16.569625
216,"Karsyn Willis
323002903
BBA
CGPA:3.26
Grade:B+",162.7025604,121.393017,,6056.179047,16.569328
217,"Harlan Weaver
322002812
BBA
CGPA:2.85
Grade:B-",149.8625278,128.701972,,6014.508009,16.569568
218,"Bert Wheeler
211015240
BBA
CGPA:2.9
Grade:B-",153.0098915,128.70197,,5988.456964,16.569633
219,"Warren Nelson
211015229
BSc in EEE
CGPA:3.53
Grade:A-",165.1105881,128.701979,,5972.200871,16.569336
220,"Elias Roberts
223015634
BSc in CSE
CGPA:3.53
Grade:A-",161.3247395,128.702127,,6332.298756,16.569633
221,"Owen Williams
223002530
BSc in Textile
CGPA:2.94
Grade:B-",145.6825733,128.702323,,6054.312229,16.569642
222,"Julius Johnston
323002941
BBA
CGPA:2.94
Grade:B-",144.307375,128.704425,,6568.373203,16.569372
223,"Roy Smith
323002953
BSc in EEE
CGPA:4
Grade:A+",140.6319141,128.702612,,6372.393847,16.569409
224,"Lionel Thomas
223002564
BA in English
CGPA:2.82
Grade:B-",143.4891224,128.70277,,6646.145344,16.569505
225,"Stephen Shaw
321002738
BSc in Textile
CGPA:3.31
Grade:B+",145.0550556,128.702622,,5995.536327,16.569634
226,"Laci Grant
321002792
BSc in Textile
CGPA:3.21
Grade:B",157.4766636,128.702619,,5966.185331,16.569394
227,"Alonzo Fernandez
323002921
BBA
CGPA:2.96
Grade:B-",151.5974998,128.702615,,6589.302063,16.56945
228,"Adolph Fox
322002885
BSc in EEE
CGPA:3.36
Grade:B+",150.8631706,128.849932,,5924.407721,16.569338
229,"Miah Long
323002916
BSc in Textile
CGPA:3.23
Grade:B",156.1012268,128.702618,,5969.727755,16.570025
230,"Nyasia Kelley
222002491
BSc in EEE
CGPA:2.73
Grade:C+",151.4747143,128.702619,,6230.466127,16.569458
